guarded_log: /Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: started pid=94273 mode=quiet
run_guarded: running elapsed=7h35m45s idle=0s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=7h40m45s idle=0s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=7h45m45s idle=44s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=7h50m45s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=7h55m45s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=8h00m46s idle=3s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=8h05m47s idle=3s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=8h10m48s idle=2s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=8h15m48s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=8h20m49s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=8h25m50s idle=2s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=8h30m50s idle=3s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=8h35m50s idle=0s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=8h40m51s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=8h45m52s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=8h50m52s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=8h55m53s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=9h00m53s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=9h05m53s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=9h10m54s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: running elapsed=9h15m54s idle=1s log=/Users/andy/Desktop/P4P/P4P_knowledgeWiki/PyAnsys/output/spiral_enthalpy_sweep_20260725/logs/full_sweep.log
run_guarded: exited code=0 elapsed=9h20m37s
