case,enthalpy_kJkg,injection_name,injection_number,diameter_m,diameter_mm,injected_mass_flow_kgs,velocity_mode,normal_speed_ms,z_velocity_ms_source,escaped_kgs,trapped_kgs,incomplete_kgs,escaped_zone_names,trapped_zone_names,incomplete_zone_names,escaped_zone_ids,trapped_zone_ids,incomplete_zone_ids,escaped_zone_breakdown,trapped_zone_breakdown,incomplete_zone_breakdown,escaped_count,trapped_count,incomplete_count,escaped_fraction,notes
Case 4,1600,injection-3,4,8.614965e-05,0.08615,1.952564,face-normal,34.221202,-34.221202,0.2161,0.5339,1.203,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":963.0,""mass_flow_kgs"":0.2161}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2379.0,""mass_flow_kgs"":0.5339}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":5358.0,""mass_flow_kgs"":1.203}]",963,2379,5358,0.110674989399,
Case 4,1600,injection-4,5,0.0001292245,0.129224,1.952564,face-normal,34.221202,-34.221202,0.0772,0.562,1.313,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":344.0,""mass_flow_kgs"":0.0772}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2504.0,""mass_flow_kgs"":0.562}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":5852.0,""mass_flow_kgs"":1.313}]",344,2504,5852,0.0395377565089,
Case 4,1600,injection-5,6,0.0002670639,0.267064,23.384,face-normal,34.221202,-34.221202,0,6.908,16.48,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2570.0,""mass_flow_kgs"":6.908}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":6130.0,""mass_flow_kgs"":16.48}]",0,2570,6130,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 4,1600,injection-6,7,0.0004307482,0.430748,29.23,face-normal,34.221202,-34.221202,0,8.514,20.72,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2534.0,""mass_flow_kgs"":8.514}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":6166.0,""mass_flow_kgs"":20.72}]",0,2534,6166,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 4,1600,injection-7,8,0.0006461224,0.646122,29.23,face-normal,34.221202,-34.221202,0,8.205,21.03,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2442.0,""mass_flow_kgs"":8.205}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":6258.0,""mass_flow_kgs"":21.03}]",0,2442,6258,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 4,1600,injection-8,9,0.00124917,1.24917,29.23,face-normal,34.221202,-34.221202,0,7.284,21.95,,fluid_outlet,,,8,,,"[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2168.0,""mass_flow_kgs"":7.284}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":6532.0,""mass_flow_kgs"":21.95}]",0,2168,6532,0,escaped_kgs set to 0; no escaped fate row in per-injection report
Case 5,1680,injection-0,1,3.885923e-06,0.003886,0.177125,face-normal,37.58013,-37.58013,0.1765,0.0006515,0,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8668.0,""mass_flow_kgs"":0.1765}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":32.0,""mass_flow_kgs"":0.0006515}]",,8668,32,0,0.99647141849,incomplete_kgs set to 0; no incomplete fate row in per-injection report
Case 5,1680,injection-1,2,1.942962e-05,0.01943,0.727575,face-normal,37.58013,-37.58013,0.7067,0.02082,8.363e-05,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":8450.0,""mass_flow_kgs"":0.7067}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":249.0,""mass_flow_kgs"":0.02082}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":1.0,""mass_flow_kgs"":8.363e-05}]",8450,249,1,0.97130879978,
Case 5,1680,injection-2,3,3.885923e-05,0.038859,0.9047,face-normal,37.58013,-37.58013,0.7271,0.1776,0,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":6992.0,""mass_flow_kgs"":0.7271}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":1708.0,""mass_flow_kgs"":0.1776}]",,6992,1708,0,0.803691831546,incomplete_kgs set to 0; no incomplete fate row in per-injection report
Case 5,1680,injection-3,4,7.771846e-05,0.077718,1.8203,face-normal,37.58013,-37.58013,0.2624,0.4764,1.082,steam_outlet,fluid_outlet,,7,8,,"[{""fate"":""escaped"",""zone_name"":""steam_outlet"",""zone_id"":""7"",""count"":1254.0,""mass_flow_kgs"":0.2624}]","[{""fate"":""trapped"",""zone_name"":""fluid_outlet"",""zone_id"":""8"",""count"":2277.0,""mass_flow_kgs"":0.4764}]","[{""fate"":""incomplete"",""zone_name"":"""",""zone_id"":"""",""count"":5169.0,""mass_flow_kgs"":1.082}]",1254,2277,5169,0.144152062847,
